Id,Name,Price,ImageName,BrandId,TypeId,TagId
1,Microwave 0.9 Cu. Ft. 900 W,100,10446729.jpg,1,1,
2,Refrigerator 1.7 cu. ft. 110 watts,200,24640268.jpg,3,1,
3,Oven 900 W,300,26881473.jpg,4,1,
4,Washing machine 1200rpm,400,31000074.jpg,2,1,
5,Washing machine 900rpm,300,31285507.jpg,1,1,
6,Kitchen stoves ,1400,33641114.jpg,2,1,
7,Refrigerator ft. 90 watts,400,45808024.jpg,3,1,
8,One Handle Stainless Steel Pull Out Kitchen Faucet,20,47090355.jpg,3,1,
9,Bathing System Classic 18 in. H x 60 in. W x 32.5,200,12330912.jpg,1,2,
10,Showerhead 1.75 gpm,40,12866014.jpg,1,2,
11,Toilet 1.28 gal.,180,20155731.jpg,1,2,
12,Black Bathing System Classic 18 in. H x 60 in. W x 32.5,250,24547395.jpg,2,2,
13,Bathroom Sink Faucet Waterfall,175,25200686.jpg,2,2,
14,Bathroom Sink Faucet,99,40193368.jpg,2,2,
15,Bathroom Sink Faucet Classic,100,40887643.jpg,3,2,
16,Showerhead 1.20 gpm,125,46028385.jpg,3,2,
17,Blend Solid White Sheer Curtains,110,13778772.jpg,3,3,
18,Door Hardware Kit Single Door,120,17031875.jpg,4,3,
19,White Sheer Curtains,105,27367695.jpg,4,3,
20,White Window,120,34744564.jpg,4,3,
21,Curtain Rod 48 in,25,35268457.jpg,4,3,
22,Steel Passage Door Knob,10,39689828.jpg,1,3,
23,White Door,123,40505435.jpg,1,3,
24,White Window Wood,230,46655256.jpg,1,3,
25,Indoor Kit Gardering,70,9470575.jpg,3,4,
26,Craftsman 100 ft. L x 5/8 in.,100,12598356.jpg,3,4,
27,Metal Watering Can,20,12902526.jpg,3,4,
28,Steel Contractor Wheelbarrow,100,13894399.jpg,3,4,
29,Craftsman 21 in. W 140,200,15365639.jpg,3,4,
30,Gardering,10,29201547.jpg,2,4,
31,Celebrations C9,10,16658158.jpg,2,5,
32,Artificial Tree,250,23073793.jpg,2,5,
33,Celebrations C8,5,23536846.jpg,2,5,
34,Artificial Tree Big,300,23980448.jpg,2,5,
35,Wood Pack,30,31434677.jpg,1,5,
36,Wood Table,395,19806834.jpg,1,6,
37,Kitchen Stoves,85,27227580.jpg,1,6,
38,Kit Metal Casseroles,125,43229847.jpg,4,6,
39,Coffee Maker Red,200,52076809.jpg,4,6,
40,Extractor Steal,135,102013777.jpg,4,6,
41,Wooden Commode,50,21610747.jpg,1,7,
42,Metal Shelving,90,39696958.jpg,1,7,
43,Big Metal Shelving,99,49460165.jpg,2,7,
44,Wooden Wardrobe,120,51716553.jpg,2,7,
45,Wooden Saw,145,11143240.jpg,3,7,
46,Measuring Tape,123,13168288.jpg,3,7,
47,Multi Function Drill,159,14805480.jpg,2,7,
48,Hammer,100,19682904.jpg,2,7,
49,Screwdriver,110,51109515.jpg,1,7,
50,Pliers,105,85167541.jpg,1,7,
51,Red multi-tool plier,50,34312289.jpg,1,7,2
52,Blue multi-tool plier,50,19595793.jpg,1,7,2
53,Stainless multi-tool plier,90,35414723.jpg,1,7,2
54,Yellow Rechargeable screwdriver,250,8704649.jpg,2,7,1
55,Red Rechargeable screwdriver,250,6910004.jpg,1,7,1
56,Rechargeable screwdriver with extra battery,312,63581524.jpg,2,7,1
57,Yellow hard hat with tool bag pack,46,59890052.jpg,3,7,3
58,Single red garden gnome,56,6112251.jpg,2,4,
59,Two red garden gnomes,92,10999322.jpg,2,4,
60,One sat gnome,34,24639790.jpg,2,4,
61,One sat on shoe gnome,54,24639792.jpg,2,4,
62,One barrow gnome,29,34369812.jpg,2,4,
63,One glasses gnome,54,34369851.jpg,2,4,
64,One smiling gnome,43,38786528.jpg,2,4,
65,Two singing gnomes,65,44333595.jpg,2,4,
66,Two sleeping gnomes,32,76911883.jpg,2,4,
67,Seven-pack gnomes,250,91797131.jpg,2,4,
68,One afraid gnome,39,106662449.jpg,2,4,
69,One welcome gnome,28,106906828.jpg,2,4,
70,Two smiling gnomes,76,106906834.jpg,2,4,
