Id,Title,Description,ProductItemId
1,20 Litre,Create delicious meals with this 800 W manual microwave with a 20 Litre capacity,1
2,Multipower,Six power levels including a defrost setting offers variety for your cooking requirements,1
3,3 years guarantee,3 years guarantee,1
4,Key features,20Litre capacity (0.7cu.ft) 800W microwave output 11 microwave power levels 99min timer Cooking end signal Auto cook menus Defrost setting Glass turntable Mirror door,1
5,Triple Distribution System,Meaning a more even and effective distribution of heat. Easytronics dial control,1
6,Low Noise,"Thermoelectric technology is almost silent, so your kitchen stays quiet",2
7,Stylish,"Stylish American Style, Side by side Fridge freezer with energy rating A+",2
8,Great capacity,510 litre capacity - holds 28 bags of food shopping,2
9,Double Hotplate,"Enjoy the bonus feature of including 2 ceramic hotplates, which are positioned on the top of the mini oven and are suitable for use with any kind of pot, pan, and frying pan for boiling, steaming, warming, or frying.",3
10,2-year warranty,Shop with confidence. Your Oven with is covered by a 2 year manufacturer's warranty,3
11,9k capacity,9kg drum capacity ,4
12,A+++,A+++ energy rating,4
13,1600rpm,1600rpm max spin speed ,5
14,15 wash programmes ,15 wash programmes ,5
15,Silver,Colour Silver ,6
16,Eco-Friendly ,Eco-Friendly ,6
17,Size,Approx. 27x27cm,6
18,Capacity,141 Litres Fridge Capacity,7
19,Interface," inlet: G1 / 2, outlet: G1 / 4.",8
20,Leakproof,The shower arm diverter is made by top premium brass with disc cartridge for leakproof and durability warranty,9
21,Pinhole,"The pinhole is out of the water, the water is slender and soft, and there is no pain in the body. ",10
22,Interface,"The interface is suitable for most home use, hoses, showers, and interfaces are 2cm in diameter. It is suitable for all types of water heaters. ",10
23,Portable battery,Battery powered portable bidet (rechargeable) can be taken anywhere ,11
24,10 wash cycles,Minimum 50 wash cycles between charge & 10 wash cycles per 1.5 litre reservoir ,11
25,Remote handset,Operates from a simple remote handset ,11
26,Multifunction,"Not only ideal for dog shower in bathroom, but also can be used as handheld bidet for personal hygiene etc. ",12
27,Handheld dog shower,"Comes with handheld dog shower sprayer head, hand shower arm diverter",12
28,Single and double tap,"Single tap type and double tap type available, fit for most of standard taps. ",13
29,Pet washing,"Can be used for pet washing, help you to take care of your cat or dog at ease and keep them clean.",13
30,Light weight,"Light weight, soft and flexible, easy to install and convenient to use. ",13
31,Chrome finished,"Chrome finish to create a bright, highly reflective, guaranteed not to tarnish or corrode Bathroom Sink faucet ",14
32,Ceramic disc,Ceramic disc cartridge for smooth and long lasting operation bathtub sink faucet ,14
33,Single handle,"Single handle easy control of hot and cold water, Single hole easy installation basin mixer tap ",15
34,Durable,"Durable lead-free solid brass construction. waterfall widespread vintage style bathroom vessel sink mixer tap, tall body ",15
35,Chrome finished,This universal bath shower head is made of high grade ABS. Chrome finish ,16
36,Ready made,"Two Panels Per Package, Each panel measures 117 x 138cm Drop, Inner Diameter of the Each Ring Measures 4cm. ",17
37,Only hardware,"Only Hardware is sold, the door is not included. ",18
38,Thermal curtains,These thermal blackout curtains are made of 100 percent polyester and are imported. ,19
